cyclone_name,day,url,source,num_articles
b'alex',20220605,"['https://www.wlwt.com/article/great-weather-for-sunday-before-storm-return-early-next-week/40196936', 'https://www.indiatoday.in/india-today-insight/story/why-school-textbook-revision-in-karnataka-kicked-up-a-storm-1958543-2022-06-05', 'https://www.eastlothiancourier.com/news/20187871.tropical-storm-alex-forms-gulf-mexico/', 'https://www.ctinsider.com/shorelinenews/article/Tropical-Storm-Alex-1st-of-season-forms-in-Gulf-17220525.php', 'https://www.gjsentinel.com/news/us/tropical-storm-alex-1st-of-season-forms-in-gulf-of-mexico/article_691d41af-d65c-5f24-92c5-aad4f90636ce.html', 'https://www.cbsnews.com/news/florida-weather-tropical-storm-alex-forms-gulf-of-mexico-hurricane-season/', 'https://www.thereminder.ca/world-news/tropical-storm-alex-1st-of-season-forms-in-gulf-of-mexico-5445151', 'https://www.hometownstations.com/news/national/tropical-storm-alex-1st-of-season-forms-in-gulf-of-mexico/article_449766f6-3f2a-5444-aece-dffa8f2b3f45.html', 'https://www.wxxinews.org/npr-news/npr-news/2022-06-05/the-first-named-storm-of-the-atlantic-hurricane-season-has-formed', 'https://www.wfdd.org/story/first-named-storm-atlantic-hurricane-season-has-formed', 'https://www.wbur.org/npr/1103145374/tropical-storm-alex-florida-gulf-mexico', 'https://www.news-gazette.com/arts-entertainment/books/salem-gebil-there-s-a-storm-a-comin/article_5bb95073-1a1a-5c16-a6f1-4968dbcab22f.html', 'https://www.theargus.co.uk/news/national/20187871.tropical-storm-alex-forms-atlantic/', 'https://www.starbeacon.com/region/tropical-storm-alex-heads-toward-bermuda-with-high-winds/article_3e52ce52-34f5-5a28-9bfd-ec27c8e72bb9.html', 'https://www.cbsnews.com/miami/news/tropical-storm-alex-first-named-storm/']","['wlwt.com', 'indiatoday.in', 'eastlothiancourier.com', 'ctinsider.com', 'gjsentinel.com', 'cbsnews.com', 'thereminder.ca', 'hometownstations.com', 'wxxinews.org', 'wfdd.org', 'wbur.org', 'news-gazette.com', 'theargus.co.uk', 'starbeacon.com', 'cbsnews.com']",15
b'alex',20220606,"['http://www.baltimoresun.com/news/nation-world/ct-aud-nw-tropical-storm-alex-20220605-jw25ckl5bjezzdxmi74q2hg3g4-story.html', 'https://www.longbeachstar.com/news/272576543/tropical-storm-alex-heads-toward-bermuda-with-high-winds', 'https://www.sandiegouniontribune.com/news/nation-world/story/2022-06-05/tropical-storm-alex-heads-for-bermuda-area-with-wind-rain', 'https://www.thetelegraph.com/news/article/Tropical-Storm-Alex-heads-for-Bermuda-area-with-17221541.php', 'https://www.havasunews.com/nation/tropical-storm-alex-heads-toward-bermuda-with-high-winds/article_8beb7fe9-248a-5962-91ee-d80105adc509.html', 'https://www.decaturdaily.com/news/other_news/national/tropical-storm-alex-heads-toward-bermuda-with-high-winds/article_6af37668-fd58-538a-b17e-5f311827a3ed.html', 'https://www.bignewsnetwork.com/news/272576644/tropical-storm-alex-due-to-make-imminent-landfall-in-bermuda', 'https://www.tahlequahdailypress.com/natlnewsap/tropical-storm-alex-heads-for-bermuda-area-with-wind-rain/article_c8669095-6bae-5c30-b20f-b4a192e8ba53.html', 'https://wtop.com/national/2022/06/tropical-storm-alex-1st-of-season-forms-in-gulf-of-mexico/', 'https://punchng.com/judges-salaries-60-sans-storm-court-challenge-fg-nass/', 'https://www.fox29.com/news/firefighters-get-creative-to-save-5-ducklings-from-storm-drain', 'https://www.msn.com/en-us/weather/topstories/hurricane-agatha-makes-mexico-landfall-forecast-gives-chance-for-tropical-development-in-gulf/ar-AAXT9nr', 'https://www.business-standard.com/article/current-affairs/india-deals-with-diplomatic-storm-after-controversy-over-remarks-on-prophet-122060601144_1.html', 'https://www.msn.com/en-us/weather/topstories/cincinnati-weather-strong-storm-moves-into-region-monday-afternoon/ar-AAY7Klg', 'https://www.alleywatch.com/tag/storm-ventures/']","['baltimoresun.com', 'longbeachstar.com', 'sandiegouniontribune.com', 'thetelegraph.com', 'havasunews.com', 'decaturdaily.com', 'bignewsnetwork.com', 'tahlequahdailypress.com', 'wtop.com', 'punchng.com', 'fox29.com', 'msn.com', 'business-standard.com', 'msn.com', 'alleywatch.com']",15
b'blas',20220617,['http://www.msn.com/en-us/weather/topstories/storm-celia-expected-to-dump-heavy-rain-on-el-salvador-guatemala-southern-mexico/ar-AAYAVn2'],['msn.com'],1
b'blas',20220621,['https://www.sfgate.com/news/article/Celia-again-a-tropical-storm-off-Mexico-s-Pacific-17255477.php'],['sfgate.com'],1
b'bonnie',20220629,"['https://trinidadexpress.com/news/local/panic-before-the-storm/article_6063cb72-f73b-11ec-9b72-0f2e185962b5.html', 'https://www.fox35orlando.com/news/system-in-the-atlantic-could-strengthen-into-hurricane-bonnie-this-week', 'https://www.washingtontimes.com/news/2022/jun/29/infant-formula-crisis-the-perfect-industry-storm/', 'https://sputniknews.com/20220629/surprise-geomagnetic-storm-hit-earth-after-crack-emerged-in-our-planets-magnetosphere-1096807790.html']","['trinidadexpress.com', 'fox35orlando.com', 'washingtontimes.com', 'sputniknews.com']",4
b'bonnie',20220701,"['https://www.nbcnewyork.com/news/business/money-report/a-new-etf-investing-in-disaster-relief-launches-in-time-for-hurricane-season/3757811/', 'https://www.natureworldnews.com/articles/51650/20220630/atlantic-hurricane-season-2022-tropical-disturbance-may-turn-into-tropical-storm-bonnie.htm', 'https://www.beijingbulletin.com/news/272606466/china-re-yellow-alert-for-typhoon-chaba', 'https://www.msn.com/en-us/weather/topstories/potential-tropical-cyclone-two-could-become-hurricane-once-in-pacific-as-2-other-systems-remain-in-atlantic/ar-AAYLUjt', 'https://independenttribune.com/news/national/caribbean-storm-likely-to-gain-force-hit-central-america/article_4039e83a-baea-598a-9c44-606679be205c.html', 'https://www.fox35orlando.com/news/tropical-storm-bonnie-close-to-forming-in-atlantic-hurricane-center-says', 'https://www.msn.com/en-us/weather/topstories/tropical-storm-bonnie-forms-on-rare-track-toward-central-america/ar-AAZ4RNZ', 'https://www.dailycomet.com/story/weather/hurricanes/2022/07/01/tropical-storm-bonnie-updates-national-hurricane-center-florida-texas-impact-forecast-path-storms/7781176001/']","['nbcnewyork.com', 'natureworldnews.com', 'beijingbulletin.com', 'msn.com', 'independenttribune.com', 'fox35orlando.com', 'msn.com', 'dailycomet.com']",8
b'chaba',20220704,"['http://ktvz.com/news/national-world/cnn-asia-pacific/2022/07/03/hong-kong-said-miracle-needed-to-find-more-survivors-from-ship-sunk-in-typhoon-chaba-china-just-found-one/', 'https://www.shanghaisun.com/news/272608974/typhoon-aere-forecast-to-make-landfall-on-japans-kyushu-island-jma', 'https://www.daily-sun.com/post/630249/Typhoon-Aere-forecast-to-make-landfall-in-Japan']","['ktvz.com', 'shanghaisun.com', 'daily-sun.com']",3
b'bonnie',20220705,['https://www.newdelhitimes.com/forecasters-hurricane-bonnie-could-bring-flooding-to-mexico/'],['newdelhitimes.com'],1
b'bonnie',20220708,['https://b93radio.com/2022/07/08/after-storm-damage-mexico-readies-new-roof-protecting-important-aztec-ruins/'],['b93radio.com'],1
b'darby',20220711,['https://www.ocala.com/story/weather/hurricanes/2022/07/11/tropical-updates-national-hurricane-center-florida-impact-forecast-path-storms-danielle-gulf-mexico/10026893002/'],['ocala.com'],1
