sid,name,basin,season,time_stamp,lat,lon,wind,pressure,storm_speed,storm_dir,2m_temperature,mean_sea_level_pressure_hpa,10m_u_component_of_wind,10m_v_component_of_wind,era5_spatial_error_km
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 00:00:00.000039936,-20.1,176.6,40.0,997.0,7.0,240.0,300.89087,989.86625,4.6997986,-11.177551,20.884864749490145
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 03:00:00.000039936,-14.4,143.9,53.0,993.0,5.0,235.0,300.00342,1006.62625,1.3886871,-0.03164673,24.607547652292983
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 03:00:00.000039936,-20.3,176.2,48.0,990.0,8.0,235.0,300.8706,986.61125,5.4414215,0.2984314,24.66641725214055
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 06:00:00.000039936,-14.5,143.7,45.0,996.0,7.0,255.0,300.38123,1003.22,1.9009094,3.7467194,15.395539176534452
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 06:00:00.000039936,-20.5,175.8,55.0,983.0,8.0,240.0,300.93982,985.975,0.68118286,4.749649,11.008297737810913
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 09:00:00.000039936,-14.6,143.2,38.0,999.0,9.0,265.0,298.1825,1006.4069000000001,3.1455994,3.5932007,10.761033904862284
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 09:00:00.000039936,-20.6,175.6,53.0,984.0,8.0,255.0,300.6903,987.0244,0.45614624,-2.262268,20.817378228407534
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 12:00:00.000039936,-14.6,142.7,30.0,1002.0,10.0,270.0,297.4723,1007.2325,1.4114685,0.5096283,10.76103390486502
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 12:00:00.000039936,-20.7,175.3,50.0,985.0,9.0,265.0,300.26526,987.6425,-2.3815002,-4.279434,11.230687591100866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 15:00:00.000039936,-14.6,142.3,30.0,1003.0,10.0,275.0,297.81564,1005.9594000000001,2.4467468,-0.73172,0.11119492664497621
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 15:00:00.000039936,-20.7,174.8,48.0,988.0,9.0,270.0,299.96408,985.4794,1.6401062,1.368866,11.230687591100866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 18:00:00.000039936,-14.6,141.9,30.0,1004.0,8.0,275.0,297.83777,1003.8419,2.4674683,0.3245697,10.761033904859545
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 18:00:00.000039936,-20.7,174.3,45.0,991.0,6.0,265.0,299.7948,985.7794,2.4205933,-0.3131256,11.230687591100866
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-10 21:00:00.000039936,-14.6,141.5,35.0,1002.0,6.0,270.0,300.02716,1004.46,0.25820923,6.9201202,21.521205529935532
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-10 21:00:00.000039936,-20.7,174.0,45.0,991.0,4.0,245.0,299.86896,985.82,-1.7671814,1.0802765,23.647293510815178
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 00:00:00.000039936,-14.6,141.1,40.0,1000.0,9.0,250.0,300.22888,1006.5469,0.40626526,-7.1686554,21.52120552993827
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 00:00:00.000039936,-20.8,173.8,45.0,990.0,3.0,235.0,300.34607,986.7631,-0.47361755,-5.484085,22.350180255556754
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 03:00:00.000039936,-14.7,140.6,40.0,1000.0,13.0,250.0,300.39716,1004.025,5.0240173,-8.968765,24.270707488023948
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 03:00:00.000039936,-20.8,173.6,45.0,990.0,3.0,225.0,300.1042,986.5675,6.6246033,-7.676773,30.533769807376714
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 06:00:00.000039936,-14.9,140.0,40.0,1000.0,15.0,260.0,300.47314,999.7444,-8.198181,1.0677032,30.839634659761085
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 06:00:00.000039936,-20.9,173.5,45.0,989.0,3.0,215.0,299.74268,985.7444,-6.727478,5.0403595,30.342989874547303
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 09:00:00.000039936,-14.9,139.0,45.0,998.0,17.0,275.0,300.71982,1002.6419000000001,-2.5375519,12.613068,30.839634659761085
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 09:00:00.000039936,-21.0,173.4,48.0,991.0,3.0,195.0,299.68466,986.6344,-3.7397003,5.141388,15.12861400438391
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 12:00:00.000039936,-14.9,138.0,50.0,995.0,16.0,275.0,300.39505,1004.0056,0.29212952,8.523376,30.839634659761085
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 12:00:00.000039936,-21.2,173.4,50.0,992.0,4.0,170.0,299.47513,987.0294,2.7501373,-1.4082642,15.286455823203669
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 15:00:00.000039936,-14.9,137.3,53.0,994.0,14.0,275.0,300.31375,1000.685,3.902649,10.218292,22.1277904022668
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 15:00:00.000039936,-21.4,173.5,53.0,989.0,5.0,155.0,299.13992,984.89375,-2.2682495,0.4116516,30.294905502458512
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 18:00:00.000039936,-14.8,136.7,55.0,993.0,12.0,275.0,300.3325,999.2825,12.362854,0.81359863,24.80347347248472
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 18:00:00.000039936,-21.8,173.7,55.0,986.0,8.0,165.0,299.186,986.41625,5.724182,-8.487183,24.622564260359976
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-11 21:00:00.000039936,-14.8,136.1,55.0,993.0,12.0,275.0,300.4694,998.8044,9.387329,-1.5299377,31.020275468527448
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-11 21:00:00.000039936,-22.3,173.8,58.0,984.0,11.0,170.0,299.44986,988.1080999999999,1.7652588,-7.7691956,22.350180255556754
b'2022008S13148',b'TIFFANY',b'SP',2022.0,2022-01-12 00:00:00.000039936,-14.7,135.4,55.0,992.0,15.0,275.0,298.12915,1000.7019,7.3991547,-1.2100067,15.551947593671606
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 00:00:00.000039936,-22.8,173.9,60.0,982.0,9.0,170.0,299.32837,987.7769000000001,2.0690765,-10.694382,24.591887113596762
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-12 03:00:00.000039936,-14.6,134.5,45.0,996.0,17.0,275.0,297.6167,1000.6844,6.6094513,1.0930023,21.521205529935532
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 03:00:00.000039936,-23.1,173.9,58.0,984.0,7.0,170.0,299.13232,985.7144000000001,-0.023361206,-8.742935,10.22859067987847
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-12 06:00:00.000039936,-14.5,133.7,35.0,1000.0,13.0,265.0,299.13196,999.705,5.1947327,2.502884,15.395539176536367
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 06:00:00.000039936,-23.4,174.0,55.0,985.0,9.0,155.0,298.91125,985.2625,-5.8296814,-2.8838348,30.09279951370721
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-12 09:00:00.000039936,-14.6,133.3,30.0,1002.0,10.0,250.0,297.63342,1001.41875,6.0362396,0.25250244,0.11119492664497621
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 09:00:00.000039936,-23.7,174.2,53.0,987.0,11.0,145.0,299.0006,986.72375,0.75205994,-10.72113,15.161646891681247
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-12 12:00:00.000039936,-14.7,132.9,25.0,1004.0,10.0,250.0,296.20642,1003.93,4.4824524,-2.0538788,15.551947593671606
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 12:00:00.000039936,-24.1,174.5,50.0,989.0,9.0,145.0,298.4408,986.5275,-0.88082886,-7.377121,20.300887929720453
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-12 15:00:00.000039936,-14.9,132.4,25.0,1003.0,11.0,255.0,296.46317,1001.73625,0.2498169,3.1253967,24.596749855144033
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 15:00:00.000039936,-24.5,174.8,48.0,989.0,7.0,145.0,298.59793,986.06375,-4.359558,-9.166595,11.008297737810913
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-12 18:00:00.000039936,-15.1,131.8,25.0,1002.0,11.0,255.0,296.31616,999.86125,0.5801544,1.4411926,0.11119492664462255
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 18:00:00.000039936,-24.9,175.1,45.0,988.0,8.0,140.0,298.4099,987.70375,-7.255783,-10.095917,29.93126170878513
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-12 21:00:00.000039936,-15.3,131.3,25.0,1002.0,11.0,255.0,295.65314,1000.51375,0.5455322,-1.1179352,22.350180255556754
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-12 21:00:00.000039936,-25.3,175.5,45.0,987.0,10.0,135.0,298.56915,987.725,0.82385254,-5.9919586,30.074000890239397
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 00:00:00.000039936,-15.4,130.7,25.0,1002.0,11.0,255.0,298.7818,1003.6056,-4.3764343,-0.9528351,24.58561564621556
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 00:00:00.000039936,-25.6,175.9,45.0,986.0,9.0,140.0,298.4947,986.7230999999999,0.542511,-7.9137726,10.028578324345421
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 03:00:00.000039936,-15.6,130.1,23.0,1003.0,12.0,260.0,300.6325,1002.8669,-0.8976593,-4.859268,21.420098211246817
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 03:00:00.000039936,-25.9,176.2,48.0,985.0,8.0,145.0,298.5915,985.4680999999999,1.3552704,-10.464737,24.280084264822346
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 06:00:00.000039936,-15.7,129.4,20.0,1004.0,13.0,260.0,297.41052,1000.8656,1.5948792,-2.466217,15.516906930229485
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 06:00:00.000039936,-26.2,176.4,50.0,984.0,8.0,150.0,298.52966,983.5719,2.9532776,-4.6039124,15.025187566215351
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 09:00:00.000039936,-15.8,128.7,20.0,1005.0,14.0,260.0,297.48846,1000.4669,0.21006775,-2.4557495,24.781452162068938
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 09:00:00.000039936,-26.5,176.6,50.0,983.0,7.0,150.0,298.45917,984.2919,-3.4813385,-8.757507,22.736484087831194
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 12:00:00.000039936,-15.9,128.0,20.0,1005.0,12.0,260.0,296.9031,1001.85625,-3.5618591,2.3417206,30.767477010108102
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 12:00:00.000039936,-26.8,176.9,50.0,982.0,7.0,150.0,298.05545,983.5975,3.9527893,-0.9375763,24.458379958610553
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 15:00:00.000039936,-15.9,127.5,20.0,1005.0,10.0,265.0,297.16077,1002.3144,-8.636749,0.82614136,30.767477010108102
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 15:00:00.000039936,-27.2,177.2,55.0,979.0,7.0,145.0,297.8971,981.0431,1.5253601,-7.84964,14.96750330528653
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 18:00:00.000039936,-15.9,127.1,20.0,1005.0,8.0,265.0,296.7743,1000.4175,-7.8220367,0.8256378,30.767477010106212
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 18:00:00.000039936,-27.5,177.5,60.0,976.0,5.0,155.0,297.86414,981.65,-6.3913727,-6.314987,22.582203864318693
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-13 21:00:00.000039936,-15.9,126.6,20.0,1005.0,6.0,255.0,295.30145,999.43375,-8.721313,0.87124634,30.767477010108102
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-13 21:00:00.000039936,-27.7,177.5,55.0,979.0,4.0,160.0,297.60223,982.38125,-5.546509,-0.87387085,22.675820774629546
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-14 00:00:00.000039936,-16.0,126.2,20.0,1005.0,6.0,240.0,295.9858,1002.26875,-0.63223267,2.2635345,15.341939603428395
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-14 00:00:00.000039936,-27.9,177.4,50.0,981.0,4.0,130.0,297.69284,984.1675,-7.2669983,6.9334564,24.208088596872976
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-14 03:00:00.000039936,-16.1,126.0,23.0,1002.0,7.0,225.0,298.24243,1002.7531,0.5910492,-1.7411652,21.367095829852307
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-14 03:00:00.000039936,-28.0,177.7,48.0,982.0,6.0,110.0,297.92212,981.7594,-1.8747711,4.3779755,14.747396222875047
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-14 06:00:00.000039936,-16.3,125.9,25.0,999.0,5.0,220.0,298.7209,1000.61375,2.0446167,-3.6656952,24.769945774037566
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-14 06:00:00.000039936,-28.0,178.0,45.0,983.0,5.0,105.0,297.97675,982.26625,-0.5706177,6.885086,22.503218865258866
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-14 09:00:00.000039936,-16.4,125.9,25.0,999.0,3.0,220.0,295.65475,999.5094,0.84381104,-3.4780273,24.562349831609563
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-14 09:00:00.000039936,-28.0,178.2,45.0,986.0,5.0,105.0,297.93405,983.3181,1.2002563,2.1713867,14.747396222875047
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-14 12:00:00.000039936,-16.5,125.8,25.0,998.0,4.0,225.0,294.8048,1002.6819,-1.0946808,-4.235565,11.008297737810913
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-14 12:00:00.000039936,-28.1,178.5,45.0,989.0,6.0,105.0,297.43958,983.5956,1.0557098,3.7185364,19.618010760032835
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-14 15:00:00.000039936,-16.7,125.5,25.0,999.0,6.0,225.0,296.52023,1001.7805999999999,0.27903748,-2.9791718,24.085273831203086
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-14 15:00:00.000039936,-28.2,178.8,45.0,989.0,7.0,105.0,297.38742,982.6669,2.5583344,3.414383,11.230687591100512
b'2022008S13148',b'TIFFANY',b'SI',2022.0,2022-01-14 18:00:00.000039936,-17.0,125.2,25.0,999.0,6.0,220.0,296.6838,998.1294,-3.0236511,-3.0387878,15.303487331538685
b'2022008S17173',b'CODY',b'SP',2022.0,2022-01-14 18:00:00.000039936,-28.3,179.2,45.0,989.0,7.0,105.0,297.33615,984.1719,3.5622864,-0.35714722,24.404187220838175
